KNN,0.7871130764371447,1,uniform,ball_tree
KNN,0.7871130764371447,1,uniform,kd_tree
KNN,0.7858496525584333,1,uniform,brute
KNN,0.7871130764371447,1,distance,ball_tree
KNN,0.7871130764371447,1,distance,kd_tree
KNN,0.7858496525584333,1,distance,brute
KNN,0.8288060644346178,5,uniform,ball_tree
KNN,0.8288060644346178,5,uniform,kd_tree
KNN,0.8281743524952622,5,uniform,brute
KNN,0.8205938092229943,5,distance,ball_tree
KNN,0.8205938092229943,5,distance,kd_tree
KNN,0.8205938092229943,5,distance,brute
KNN,0.8439671509791535,9,uniform,ball_tree
KNN,0.8439671509791535,9,uniform,kd_tree
KNN,0.8439671509791535,9,uniform,brute
KNN,0.833859759949463,9,distance,ball_tree
KNN,0.833859759949463,9,distance,kd_tree
KNN,0.833859759949463,9,distance,brute
KNN,0.8515476942514214,13,uniform,ball_tree
KNN,0.8515476942514214,13,uniform,kd_tree
KNN,0.8515476942514214,13,uniform,brute
KNN,0.8395451674036639,13,distance,ball_tree
KNN,0.8395451674036639,13,distance,kd_tree
KNN,0.8395451674036639,13,distance,brute
KNN,0.8471257106759318,17,uniform,ball_tree
KNN,0.8471257106759318,17,uniform,kd_tree
KNN,0.8471257106759318,17,uniform,brute
KNN,0.8395451674036639,17,distance,ball_tree
KNN,0.8395451674036639,17,distance,kd_tree
KNN,0.8395451674036639,17,distance,brute
DTree,0.8186986734049273,gini,best,10,1955499847
DTree,0.8149084017687934,gini,best,10,1087847426
DTree,0.8123815540113708,gini,best,10,1479342721
DTree,0.8149084017687934,gini,best,10,1444465738
DTree,0.8123815540113708,gini,best,10,1959125947
DTree,0.8136449778900822,gini,best,10,377724069
DTree,0.8092229943145925,gini,best,10,961245215
DTree,0.8180669614655717,gini,best,10,958128344
DTree,0.819330385344283,gini,best,10,1047155429
DTree,0.815540113708149,gini,best,10,586706132
DTree,0.8142766898294378,gini,best,10,1010707035
DTree,0.8168035375868604,gini,best,10,1666745876
DTree,0.8149084017687934,gini,best,10,274407633
DTree,0.8149084017687934,gini,best,10,1621186948
DTree,0.8180669614655717,gini,best,10,1713343570
DTree,0.8168035375868604,gini,best,10,1919454135
DTree,0.8186986734049273,gini,best,10,1244078717
DTree,0.815540113708149,gini,best,10,790148826
DTree,0.8123815540113708,gini,best,10,556865260
DTree,0.8123815540113708,gini,best,10,1257172342
DTree,0.7770056854074542,gini,best,20,945344398
DTree,0.784586228679722,gini,best,20,1003158749
DTree,0.7890082122552117,gini,best,20,655883713
DTree,0.7820593809222994,gini,best,20,2024410598
DTree,0.7877447883765003,gini,best,20,339670627
DTree,0.7858496525584333,gini,best,20,984170749
DTree,0.7902716361339229,gini,best,20,2051184276
DTree,0.7833228048010107,gini,best,20,1999459158
DTree,0.7858496525584333,gini,best,20,1951621025
DTree,0.7820593809222994,gini,best,20,292872796
DTree,0.7776373973468098,gini,best,20,2006659626
DTree,0.7902716361339229,gini,best,20,343947577
DTree,0.7826910928616551,gini,best,20,49305607
DTree,0.7852179406190777,gini,best,20,815761458
DTree,0.7839545167403664,gini,best,20,416720431
DTree,0.7807959570435882,gini,best,20,292544716
DTree,0.7833228048010107,gini,best,20,1454643608
DTree,0.7839545167403664,gini,best,20,356740194
DTree,0.7858496525584333,gini,best,20,174472172
DTree,0.7814276689829438,gini,best,20,1462822208
DTree,0.7624763108022742,gini,best,30,232671101
DTree,0.7599494630448516,gini,best,30,702120093
DTree,0.7706885660138977,gini,best,30,1286892371
DTree,0.7675300063171194,gini,best,30,1015359753
DTree,0.7776373973468098,gini,best,30,783047271
DTree,0.7675300063171194,gini,best,30,673815710
DTree,0.7618445988629186,gini,best,30,131701698
DTree,0.7631080227416298,gini,best,30,1923748408
DTree,0.7713202779532533,gini,best,30,1521543623
DTree,0.7668982943777637,gini,best,30,1751830578
DTree,0.7631080227416298,gini,best,30,378591032
DTree,0.7706885660138977,gini,best,30,1296153451
DTree,0.7694251421351863,gini,best,30,865810107
DTree,0.7694251421351863,gini,best,30,646057349
DTree,0.7732154137713203,gini,best,30,1692629092
DTree,0.7675300063171194,gini,best,30,939935932
DTree,0.7681617182564751,gini,best,30,2141836330
DTree,0.7757422615287429,gini,best,30,1735353624
DTree,0.7662665824384081,gini,best,30,1697794460
DTree,0.7770056854074542,gini,best,30,375218247
DTree,0.7593177511054959,gini,best,40,604402315
DTree,0.7624763108022742,gini,best,40,1565254404
DTree,0.7675300063171194,gini,best,40,137117032
DTree,0.7612128869235628,gini,best,40,2033925681
DTree,0.7599494630448516,gini,best,40,123386147
DTree,0.7624763108022742,gini,best,40,954932114
DTree,0.7675300063171194,gini,best,40,1279659076
DTree,0.7605811749842072,gini,best,40,1238080210
DTree,0.7631080227416298,gini,best,40,513799085
DTree,0.7561591914087177,gini,best,40,689394476
DTree,0.7650031585596968,gini,best,40,169351758
DTree,0.7567909033480733,gini,best,40,155410054
DTree,0.7618445988629186,gini,best,40,972703375
DTree,0.7593177511054959,gini,best,40,1042675334
DTree,0.7612128869235628,gini,best,40,1762115615
DTree,0.7624763108022742,gini,best,40,528864656
DTree,0.7624763108022742,gini,best,40,1713779394
DTree,0.7612128869235628,gini,best,40,566451307
DTree,0.7561591914087177,gini,best,40,801968952
DTree,0.7561591914087177,gini,best,40,1997417720
DTree,0.7650031585596968,gini,best,50,1480867839
DTree,0.7561591914087177,gini,best,50,1147318971
DTree,0.7612128869235628,gini,best,50,960307087
DTree,0.770056854074542,gini,best,50,1576090435
DTree,0.7643714466203412,gini,best,50,1161366332
DTree,0.7675300063171194,gini,best,50,1401777926
DTree,0.7650031585596968,gini,best,50,2033000872
DTree,0.7574226152874289,gini,best,50,1996256728
DTree,0.7732154137713203,gini,best,50,1135191746
DTree,0.7599494630448516,gini,best,50,944846143
DTree,0.7536323436512951,gini,best,50,1615535883
DTree,0.7687934301958307,gini,best,50,127862211
DTree,0.7612128869235628,gini,best,50,1195689711
DTree,0.7567909033480733,gini,best,50,149980968
DTree,0.7523689197725837,gini,best,50,1786883161
DTree,0.7605811749842072,gini,best,50,2043802242
DTree,0.7618445988629186,gini,best,50,1239005843
DTree,0.7643714466203412,gini,best,50,1120846183
DTree,0.7586860391661402,gini,best,50,1183801867
DTree,0.7574226152874289,gini,best,50,2049379425
DTree,0.7624763108022742,gini,best,60,73708059
DTree,0.7732154137713203,gini,best,60,606211405
DTree,0.7567909033480733,gini,best,60,1753639439
DTree,0.7561591914087177,gini,best,60,1831409152
DTree,0.7599494630448516,gini,best,60,1246916779
DTree,0.7567909033480733,gini,best,60,1368703544
DTree,0.7574226152874289,gini,best,60,2038906059
DTree,0.7656348704990524,gini,best,60,669118565
DTree,0.7656348704990524,gini,best,60,1865449512
DTree,0.7523689197725837,gini,best,60,1719579226
DTree,0.7511054958938724,gini,best,60,382209915
DTree,0.7650031585596968,gini,best,60,1409704633
DTree,0.7593177511054959,gini,best,60,2097503880
DTree,0.7675300063171194,gini,best,60,375882507
DTree,0.7643714466203412,gini,best,60,1500947790
DTree,0.7567909033480733,gini,best,60,1532089461
DTree,0.7580543272267846,gini,best,60,26267736
DTree,0.7662665824384081,gini,best,60,942957114
DTree,0.7555274794693619,gini,best,60,1085757472
DTree,0.7631080227416298,gini,best,60,2080347876
DTree,0.7612128869235628,gini,best,70,1274179781
DTree,0.7586860391661402,gini,best,70,857833332
DTree,0.7567909033480733,gini,best,70,2056799033
DTree,0.7605811749842072,gini,best,70,211191464
DTree,0.7593177511054959,gini,best,70,568488636
DTree,0.7593177511054959,gini,best,70,1781214014
DTree,0.7662665824384081,gini,best,70,1097672423
DTree,0.7555274794693619,gini,best,70,988025663
DTree,0.7580543272267846,gini,best,70,941744630
DTree,0.7593177511054959,gini,best,70,262864787
DTree,0.7586860391661402,gini,best,70,1422507309
DTree,0.7668982943777637,gini,best,70,1180351366
DTree,0.7612128869235628,gini,best,70,1898228413
DTree,0.7706885660138977,gini,best,70,2074291203
DTree,0.7612128869235628,gini,best,70,905034556
DTree,0.7612128869235628,gini,best,70,856176137
DTree,0.7580543272267846,gini,best,70,1772019511
DTree,0.7542640555906507,gini,best,70,1810280553
DTree,0.7637397346809854,gini,best,70,1201682186
DTree,0.7567909033480733,gini,best,70,600671396
DTree,0.7618445988629186,gini,best,80,1139600487
DTree,0.7624763108022742,gini,best,80,764718905
DTree,0.7605811749842072,gini,best,80,694322889
DTree,0.7618445988629186,gini,best,80,570917501
DTree,0.7675300063171194,gini,best,80,705122891
DTree,0.7631080227416298,gini,best,80,1454571855
DTree,0.7580543272267846,gini,best,80,2142461733
DTree,0.7599494630448516,gini,best,80,1372146108
DTree,0.770056854074542,gini,best,80,624655242
DTree,0.7580543272267846,gini,best,80,1815569502
DTree,0.7599494630448516,gini,best,80,393385778
DTree,0.7580543272267846,gini,best,80,750496753
DTree,0.7542640555906507,gini,best,80,837166493
DTree,0.7580543272267846,gini,best,80,609672808
DTree,0.7706885660138977,gini,best,80,723533419
DTree,0.7599494630448516,gini,best,80,1439332727
DTree,0.7643714466203412,gini,best,80,1179466695
DTree,0.7656348704990524,gini,best,80,1912094069
DTree,0.7574226152874289,gini,best,80,1031605661
DTree,0.7599494630448516,gini,best,80,2028218652
DTree,0.7605811749842072,gini,best,90,1827783620
DTree,0.7631080227416298,gini,best,90,646162581
DTree,0.7675300063171194,gini,best,90,129659826
DTree,0.7517372078332281,gini,best,90,858662016
DTree,0.7586860391661402,gini,best,90,1124718947
DTree,0.7593177511054959,gini,best,90,153658777
DTree,0.7498420720151611,gini,best,90,968339971
DTree,0.7637397346809854,gini,best,90,655833268
DTree,0.7511054958938724,gini,best,90,856565265
DTree,0.7580543272267846,gini,best,90,1232776969
DTree,0.7624763108022742,gini,best,90,1811812679
DTree,0.7612128869235628,gini,best,90,1585597144
DTree,0.7637397346809854,gini,best,90,1760671314
DTree,0.7612128869235628,gini,best,90,1351085676
DTree,0.7561591914087177,gini,best,90,1441311307
DTree,0.7694251421351863,gini,best,90,1651926875
DTree,0.7637397346809854,gini,best,90,2143350338
DTree,0.7548957675300063,gini,best,90,1106251328
DTree,0.7706885660138977,gini,best,90,154395650
DTree,0.7498420720151611,gini,best,90,1211580192
DTree,0.7580543272267846,gini,best,100,1788089373
DTree,0.7605811749842072,gini,best,100,1629309670
DTree,0.7612128869235628,gini,best,100,251571357
DTree,0.7662665824384081,gini,best,100,1288159969
DTree,0.7567909033480733,gini,best,100,336813667
DTree,0.7523689197725837,gini,best,100,2065467101
DTree,0.7662665824384081,gini,best,100,2020669487
DTree,0.7548957675300063,gini,best,100,1714144420
DTree,0.7631080227416298,gini,best,100,109308391
DTree,0.7555274794693619,gini,best,100,1494091409
DTree,0.7618445988629186,gini,best,100,913173591
DTree,0.7605811749842072,gini,best,100,1260144540
DTree,0.7650031585596968,gini,best,100,270135515
DTree,0.7631080227416298,gini,best,100,294086088
DTree,0.7530006317119393,gini,best,100,1411435354
DTree,0.7662665824384081,gini,best,100,58208683
DTree,0.7631080227416298,gini,best,100,380942101
DTree,0.7605811749842072,gini,best,100,982201918
DTree,0.7473152242577384,gini,best,100,780553381
DTree,0.7574226152874289,gini,best,100,200535263
DTree,0.7580543272267846,gini,best,,2094187897
DTree,0.7555274794693619,gini,best,,700120650
DTree,0.7618445988629186,gini,best,,844103836
DTree,0.7631080227416298,gini,best,,1800399614
DTree,0.7523689197725837,gini,best,,1340019593
DTree,0.7618445988629186,gini,best,,300359007
DTree,0.7637397346809854,gini,best,,1647462306
DTree,0.7567909033480733,gini,best,,2142836659
DTree,0.7618445988629186,gini,best,,1676124590
DTree,0.7530006317119393,gini,best,,71917433
DTree,0.7637397346809854,gini,best,,1752204176
DTree,0.7542640555906507,gini,best,,1182410563
DTree,0.7561591914087177,gini,best,,308125583
DTree,0.7662665824384081,gini,best,,1457004201
DTree,0.7586860391661402,gini,best,,1487843224
DTree,0.7586860391661402,gini,best,,686178041
DTree,0.7624763108022742,gini,best,,1496848619
DTree,0.7586860391661402,gini,best,,1541950229
DTree,0.7536323436512951,gini,best,,1080279382
DTree,0.7605811749842072,gini,best,,1793657050
DTree,0.8477574226152874,gini,random,10,1491399993
DTree,0.8351231838281743,gini,random,10,1676248282
DTree,0.8471257106759318,gini,random,10,1581655770
DTree,0.8433354390397979,gini,random,10,991538158
DTree,0.8464939987365762,gini,random,10,921559554
DTree,0.8420720151610865,gini,random,10,1456495428
DTree,0.8477574226152874,gini,random,10,1543298924
DTree,0.8458622867972204,gini,random,10,142792202
DTree,0.8395451674036639,gini,random,10,331300161
DTree,0.8389134554643083,gini,random,10,1773531130
DTree,0.8452305748578648,gini,random,10,1525141713
DTree,0.8490208464939988,gini,random,10,861435097
DTree,0.8452305748578648,gini,random,10,1853885101
DTree,0.8414403032217309,gini,random,10,993488832
DTree,0.8445988629185092,gini,random,10,1748862081
DTree,0.8452305748578648,gini,random,10,1310896919
DTree,0.8395451674036639,gini,random,10,1024940315
DTree,0.8294377763739734,gini,random,10,714132360
DTree,0.8401768793430195,gini,random,10,1661354167
DTree,0.8464939987365762,gini,random,10,761239382
DTree,0.8224889450410613,gini,random,20,1282653284
DTree,0.8066961465571699,gini,random,20,1048228507
DTree,0.8205938092229943,gini,random,20,192008561
DTree,0.8092229943145925,gini,random,20,1730841405
DTree,0.8130132659507264,gini,random,20,1738396418
DTree,0.8016424510423247,gini,random,20,1551157724
DTree,0.8054327226784587,gini,random,20,1083373586
DTree,0.8117498420720152,gini,random,20,465181658
DTree,0.8041692987997473,gini,random,20,1267490117
DTree,0.7921667719519899,gini,random,20,1783307839
DTree,0.801010739102969,gini,random,20,59672979
DTree,0.8085912823752369,gini,random,20,2094355576
DTree,0.8161718256475048,gini,random,20,1396781692
DTree,0.815540113708149,gini,random,20,759892220
DTree,0.8035375868603917,gini,random,20,485853246
DTree,0.8022741629816803,gini,random,20,298760566
DTree,0.8123815540113708,gini,random,20,54054499
DTree,0.8180669614655717,gini,random,20,2105450785
DTree,0.8048010107391029,gini,random,20,563282
DTree,0.819330385344283,gini,random,20,775237296
DTree,0.7656348704990524,gini,random,30,29127209
DTree,0.7687934301958307,gini,random,30,1044199192
DTree,0.7675300063171194,gini,random,30,963437377
DTree,0.7883765003158559,gini,random,30,1439592002
DTree,0.7782691092861656,gini,random,30,649442386
DTree,0.7618445988629186,gini,random,30,340307867
DTree,0.7896399241945673,gini,random,30,1498879976
DTree,0.7687934301958307,gini,random,30,1057582641
DTree,0.7883765003158559,gini,random,30,1435932131
DTree,0.7801642451042324,gini,random,30,2086385670
DTree,0.7706885660138977,gini,random,30,1310320709
DTree,0.7751105495893872,gini,random,30,2036009097
DTree,0.784586228679722,gini,random,30,2145706937
DTree,0.7706885660138977,gini,random,30,565136383
DTree,0.7656348704990524,gini,random,30,1888701595
DTree,0.7744788376500316,gini,random,30,313859204
DTree,0.7763739734680986,gini,random,30,1815654502
DTree,0.7681617182564751,gini,random,30,56938203
DTree,0.7820593809222994,gini,random,30,2140524344
DTree,0.7902716361339229,gini,random,30,1934321126
DTree,0.7542640555906507,gini,random,40,145922116
DTree,0.7504737839545167,gini,random,40,356108604
DTree,0.7618445988629186,gini,random,40,1553137789
DTree,0.7656348704990524,gini,random,40,313862059
DTree,0.7618445988629186,gini,random,40,1840922117
DTree,0.7662665824384081,gini,random,40,834068823
DTree,0.7643714466203412,gini,random,40,62744137
DTree,0.7561591914087177,gini,random,40,1176854575
DTree,0.7593177511054959,gini,random,40,277951984
DTree,0.7814276689829438,gini,random,40,717684064
DTree,0.7561591914087177,gini,random,40,1599827727
DTree,0.7435249526216046,gini,random,40,1392071265
DTree,0.7612128869235628,gini,random,40,624954767
DTree,0.7757422615287429,gini,random,40,1994114136
DTree,0.7807959570435882,gini,random,40,1119946722
DTree,0.7409981048641819,gini,random,40,172520740
DTree,0.7681617182564751,gini,random,40,1124754542
DTree,0.7567909033480733,gini,random,40,187100064
